UF,populacao
AC,790101
AL,3321300
AM,3873740
AP,750912
BA,15126400
CE,8843550
DF,2852370
ES,3885050
GO,6523220
MA,6850880
MG,20734100
MS,2619660
MT,3224360
PA,8073920
PB,3943880
PE,9278150
PI,3193960
PR,11081700
RJ,16461200
RN,3408510
RO,1748530
RR,496936
RS,11207300
SC,6727150
SE,2219570
SP,44035300
TO,1496880
