UF,populacao
AC,734447
AL,3231840
AM,3604160
AP,686189
BA,14768300
CE,8569780
DF,2602070
ES,3697240
GO,6155270
MA,6603880
MG,20134700
MS,2486260
MT,3049350
PA,7638340
PB,3819240
PE,8985660
PI,3142950
PR,10729000
RJ,16074000
RN,3264650
RO,1663490
RR,460678
RS,11019000
SC,6351420
SE,2120050
SP,42486700
TO,1419100
