UF,populacao
AC,776463
AL,3300940
AM,3807920
AP,734996
BA,15044100
CE,8779340
DF,2789760
ES,3839370
GO,6434050
MA,6794300
MG,20593400
MS,2587270
MT,3182110
PA,7969650
PB,3914420
PE,9208550
PI,3183400
PR,10997500
RJ,16369200
RN,3373960
RO,1728210
RR,488072
RS,11164000
SC,6634250
SE,2195660
SP,43663700
TO,1478160
