UF,populacao
AC,762631
AL,3279290
AM,3740980
AP,718906
BA,1495720
CE,8712410
DF,2727100
ES,3792870
GO,6343140
MA,6734350
MG,20446800
MS,2554130
MT,3138820
PA,7862330
PB,3883820
PE,9136700
PI,3171460
PR,10910400
RJ,16274000
RN,3338490
RO,1707270
RR,479073
RS,11118300
SC,6540600
SE,2171140
SP,43281400
TO,1458960
