,Tipo_Crime,UF,ano,ocorrencias,estado_ibge,Sigla_UF,populacao,admitidos/desligados,total_desempregados,taxa_ocorrencia,taxa_desemprego
58,Estupro,Alagoas,2013,479.0,27,AL,3300940,Desligado,16005,14.511018073639631,484.86188782589204
59,Estupro,Alagoas,2014,441.0,27,AL,3321300,Desligado,13994,13.277933339355071,421.3410411585825
60,Roubo seguido de morte (latrocínio),Amazonas,2010,46.0,16,AM,3604160,Desligado,5714,1.2763029388262452,158.5390215750688
61,Roubo seguido de morte (latrocínio),Amazonas,2011,43.0,16,AM,3672970,Desligado,5243,1.170714707716099,142.74551657105832
62,Roubo seguido de morte (latrocínio),Amazonas,2012,40.0,16,AM,3740980,Desligado,4891,1.0692385417724768,130.7411426952296
63,Roubo seguido de morte (latrocínio),Amazonas,2013,36.0,16,AM,3807920,Desligado,5066,0.9453980125632893,133.03850921237841
64,Roubo seguido de morte (latrocínio),Amazonas,2014,50.0,16,AM,3873740,Desligado,3976,1.290742280070423,102.63982611120002
65,Roubo de veículo,Amazonas,2010,3925.0,16,AM,3604160,Desligado,5714,108.90193554115245,158.5390215750688
66,Roubo de veículo,Amazonas,2011,6499.0,16,AM,3672970,Desligado,5243,176.94127640574249,142.74551657105832
67,Roubo de veículo,Amazonas,2012,4763.0,16,AM,3740980,Desligado,4891,127.31957936155767,130.7411426952296
68,Roubo de veículo,Amazonas,2013,1969.0,16,AM,3807920,Desligado,5066,51.70801907603101,133.03850921237841
69,Roubo de veículo,Amazonas,2014,2766.0,16,AM,3873740,Desligado,3976,71.40386293349579,102.63982611120002
70,Lesão corporal seguida de morte,Amazonas,2010,20.0,16,AM,3604160,Desligado,5714,0.5549143212288022,158.5390215750688
71,Lesão corporal seguida de morte,Amazonas,2011,20.0,16,AM,3672970,Desligado,5243,0.5445184687051623,142.74551657105832
72,Lesão corporal seguida de morte,Amazonas,2012,26.0,16,AM,3740980,Desligado,4891,0.69500505215211,130.7411426952296
73,Lesão corporal seguida de morte,Amazonas,2013,33.0,16,AM,3807920,Desligado,5066,0.8666148448496817,133.03850921237841
74,Lesão corporal seguida de morte,Amazonas,2014,18.0,16,AM,3873740,Desligado,3976,0.4646672208253523,102.63982611120002
75,Homicídio doloso,Amazonas,2010,916.0,16,AM,3604160,Desligado,5714,25.415075912279146,158.5390215750688
76,Homicídio doloso,Amazonas,2011,1033.0,16,AM,3672970,Desligado,5243,28.124378908621633,142.74551657105832
77,Homicídio doloso,Amazonas,2012,1010.0,16,AM,3740980,Desligado,4891,26.99827317975504,130.7411426952296
78,Homicídio doloso,Amazonas,2013,891.0,16,AM,3807920,Desligado,5066,23.398600810941407,133.03850921237841
79,Homicídio doloso,Amazonas,2014,1158.0,16,AM,3873740,Desligado,3976,29.893591206430994,102.63982611120002
80,Furto de veículo,Amazonas,2010,1843.0,16,AM,3604160,Desligado,5714,51.135354701234135,158.5390215750688
81,Furto de veículo,Amazonas,2011,1968.0,16,AM,3672970,Desligado,5243,53.580617320587976,142.74551657105832
82,Furto de veículo,Amazonas,2012,1713.0,16,AM,3740980,Desligado,4891,45.79014055140632,130.7411426952296
83,Furto de veículo,Amazonas,2013,1507.0,16,AM,3807920,Desligado,5066,39.57541124813547,133.03850921237841
84,Furto de veículo,Amazonas,2014,2001.0,16,AM,3873740,Desligado,3976,51.655506048418324,102.63982611120002
85,Estupro,Amazonas,2010,1144.0,16,AM,3604160,Desligado,5714,31.74109917428749,158.5390215750688
86,Estupro,Amazonas,2011,1058.0,16,AM,3672970,Desligado,5243,28.805026994503088,142.74551657105832
87,Estupro,Amazonas,2012,1031.0,16,AM,3740980,Desligado,4891,27.559623414185587,130.7411426952296
88,Estupro,Amazonas,2013,1433.0,16,AM,3807920,Desligado,5066,37.632093111199815,133.03850921237841
89,Estupro,Amazonas,2014,1047.0,16,AM,3873740,Desligado,3976,27.028143344674657,102.63982611120002
90,Roubo seguido de morte (latrocínio),Amapá,2010,1.0,13,AP,686189,Desligado,23081,0.14573244397680524,3363.6505394286414
