,Tipo_Crime,UF,ocorrencias
123,Roubo de veículo,Piauí,6901.0
124,Roubo de veículo,Rio Grande do Norte,7832.0
125,Roubo de veículo,Rio Grande do Sul,59074.0
126,Roubo de veículo,Rio de Janeiro,93186.38600000003
127,Roubo de veículo,Rondônia,4379.0
128,Roubo de veículo,Roraima,632.0
129,Roubo de veículo,Santa Catarina,9152.0
130,Roubo de veículo,Sergipe,5943.0
131,Roubo de veículo,São Paulo,190315.21700000003
132,Roubo de veículo,Tocantins,1174.0
133,Roubo seguido de morte (latrocínio),Acre,20.0
134,Roubo seguido de morte (latrocínio),Alagoas,278.0
135,Roubo seguido de morte (latrocínio),Amapá,30.0
136,Roubo seguido de morte (latrocínio),Amazonas,215.0
137,Roubo seguido de morte (latrocínio),Bahia,761.0
138,Roubo seguido de morte (latrocínio),Ceará,406.0
139,Roubo seguido de morte (latrocínio),Distrito Federal,302.0
140,Roubo seguido de morte (latrocínio),Espírito Santo,133.0
141,Roubo seguido de morte (latrocínio),Goiás,175.0
142,Roubo seguido de morte (latrocínio),Maranhão,314.0
143,Roubo seguido de morte (latrocínio),Mato Grosso,229.0
144,Roubo seguido de morte (latrocínio),Mato Grosso do Sul,78.0
145,Roubo seguido de morte (latrocínio),Minas Gerais,432.0
146,Roubo seguido de morte (latrocínio),Paraná,259.0
147,Roubo seguido de morte (latrocínio),Paraíba,104.0
148,Roubo seguido de morte (latrocínio),Pará,628.0
149,Roubo seguido de morte (latrocínio),Pernambuco,357.0
150,Roubo seguido de morte (latrocínio),Piauí,87.0
151,Roubo seguido de morte (latrocínio),Rio Grande do Norte,53.0
152,Roubo seguido de morte (latrocínio),Rio Grande do Sul,492.0
153,Roubo seguido de morte (latrocínio),Rio de Janeiro,689.0
154,Roubo seguido de morte (latrocínio),Rondônia,84.0
155,Roubo seguido de morte (latrocínio),Roraima,13.0
156,Roubo seguido de morte (latrocínio),Santa Catarina,193.0
157,Roubo seguido de morte (latrocínio),Sergipe,166.0
158,Roubo seguido de morte (latrocínio),São Paulo,1487.0
159,Roubo seguido de morte (latrocínio),Tocantins,63.0
