CD_GEOCUF,Sigla_UF,populacao
12,AC,734447
27,AL,3231840
16,AM,3604160
13,AP,686189
29,BA,14768300
23,CE,8569780
53,DF,2602070
32,ES,3697240
52,GO,6155270
21,MA,6603880
31,MG,20134700
50,MS,2486260
51,MT,3049350
15,PA,7638340
25,PB,3819240
26,PE,8985660
22,PI,3142950
41,PR,10729000
33,RJ,16074000
24,RN,3264650
11,RO,1663490
14,RR,460678
43,RS,11019000
42,SC,6351420
28,SE,2120050
35,SP,42486700
17,TO,1419100
