CD_GEOCUF,Sigla_UF,populacao
12,AC,762631
27,AL,3279290
16,AM,3740980
13,AP,718906
29,BA,1495720
23,CE,8712410
53,DF,2727100
32,ES,3792870
52,GO,6343140
21,MA,6734350
31,MG,20446800
50,MS,2554130
51,MT,3138820
15,PA,7862330
25,PB,3883820
26,PE,9136700
22,PI,3171460
41,PR,10910400
33,RJ,16274000
24,RN,3338490
11,RO,1707270
14,RR,479073
43,RS,11118300
42,SC,6540600
28,SE,2171140
35,SP,43281400
17,TO,1458960
