CD_GEOCUF,Sigla_UF,populacao
12,AC,748616
27,AL,3256280
16,AM,3672970
13,AP,702638
29,BA,14865400
23,CE,8642630
53,DF,2664440
32,ES,3745580
52,GO,6250460
21,MA,6670980
31,MG,20294500
50,MS,2520300
51,MT,3094550
15,PA,7751990
25,PB,3852080
26,PE,9062510
22,PI,3158000
41,PR,10820400
33,RJ,16175500
24,RN,3302060
11,RO,1685700
14,RR,469943
43,RS,11069900
42,SC,6446210
28,SE,2145940
35,SP,42888200
17,TO,1439280
