CD_GEOCUF,Sigla_UF,populacao
12,AC,790101
27,AL,3321300
16,AM,3873740
13,AP,750912
29,BA,15126400
23,CE,8843550
53,DF,2852370
32,ES,3885050
52,GO,6523220
21,MA,6850880
31,MG,20734100
50,MS,2619660
51,MT,3224360
15,PA,8073920
25,PB,3943880
26,PE,9278150
22,PI,3193960
41,PR,11081700
33,RJ,16461200
24,RN,3408510
11,RO,1748530
14,RR,496936
43,RS,11207300
42,SC,6727150
28,SE,2219570
35,SP,44035300
17,TO,1496880
