,Tipo_Crime,UF,ano,ocorrencias,estado_ibge,Sigla_UF,populacao,admitidos/desligados,total_desempregados,taxa_ocorrencia,taxa_desemprego
279,Crime contra o patrimônio,Maranhão,2014,3347.0,21,MA,6850880,Desligado,18389,48.85503760100892,268.4180718389463
284,Crime contra a vida,Maranhão,2014,125.0,21,MA,6850880,Desligado,18389,1.8245831192489141,268.4180718389463
289,Crime contra a vida,Maranhão,2014,1904.0,21,MA,6850880,Desligado,18389,27.79205007239946,268.4180718389463
294,Crime contra o patrimônio,Maranhão,2014,1735.0,21,MA,6850880,Desligado,18389,25.325213695174924,268.4180718389463
299,Crime contra a vida,Maranhão,2014,1019.0,21,MA,6850880,Desligado,18389,14.874001588117148,268.4180718389463
304,Crime contra a vida,Mato Grosso,2014,46.0,51,MT,3224360,Desligado,21408,1.4266397052438313,663.9457132578249
309,Crime contra o patrimônio,Mato Grosso,2014,4338.0,51,MT,3224360,Desligado,21408,134.53832698582045,663.9457132578249
314,Crime contra a vida,Mato Grosso,2014,33.0,51,MT,3224360,Desligado,21408,1.0234589189792702,663.9457132578249
319,Crime contra a vida,Mato Grosso,2014,1276.0,51,MT,3224360,Desligado,21408,39.57374486719845,663.9457132578249
324,Crime contra o patrimônio,Mato Grosso,2014,4025.0,51,MT,3224360,Desligado,21408,124.83097420883523,663.9457132578249
329,Crime contra a vida,Mato Grosso,2014,1300.0,51,MT,3224360,Desligado,21408,40.318078626456106,663.9457132578249
334,Crime contra a vida,Mato Grosso do Sul,2014,19.0,50,MS,2619660,Desligado,22418,0.7252849606437476,855.7599077742914
339,Crime contra o patrimônio,Mato Grosso do Sul,2014,546.0,50,MS,2619660,Desligado,22418,20.84239939534138,855.7599077742914
344,Crime contra a vida,Mato Grosso do Sul,2014,7.0,50,MS,2619660,Desligado,22418,0.2672102486582228,855.7599077742914
349,Crime contra a vida,Mato Grosso do Sul,2014,463.0,50,MS,2619660,Desligado,22418,17.674049304108166,855.7599077742914
354,Crime contra o patrimônio,Mato Grosso do Sul,2014,1602.0,50,MS,2619660,Desligado,22418,61.15297405006756,855.7599077742914
359,Crime contra a vida,Mato Grosso do Sul,2014,1326.0,50,MS,2619660,Desligado,22418,50.61725567440049,855.7599077742914
364,Crime contra a vida,Minas Gerais,2014,67.0,31,MG,20734100,Desligado,79573,0.32313917652562685,383.77841333841354
369,Crime contra o patrimônio,Minas Gerais,2014,,31,MG,20734100,Desligado,79573,,383.77841333841354
374,Crime contra a vida,Minas Gerais,2014,64.0,31,MG,20734100,Desligado,79573,0.3086702581737331,383.77841333841354
379,Crime contra a vida,Minas Gerais,2014,3958.0,31,MG,20734100,Desligado,79573,19.089326278931807,383.77841333841354
384,Crime contra o patrimônio,Minas Gerais,2014,,31,MG,20734100,Desligado,79573,,383.77841333841354
389,Crime contra a vida,Minas Gerais,2014,,31,MG,20734100,Desligado,79573,,383.77841333841354
394,Crime contra a vida,Pará,2014,175.0,15,PA,8073920,Desligado,19137,2.167472553604693,237.02241290476002
399,Crime contra o patrimônio,Pará,2014,2399.0,15,PA,8073920,Desligado,19137,29.712952320558045,237.02241290476002
404,Crime contra a vida,Pará,2014,24.0,15,PA,8073920,Desligado,19137,0.29725337878007213,237.02241290476002
409,Crime contra a vida,Pará,2014,3232.0,15,PA,8073920,Desligado,19137,40.03012167571638,237.02241290476002
414,Crime contra o patrimônio,Pará,2014,797.0,15,PA,8073920,Desligado,19137,9.87128928698823,237.02241290476002
419,Crime contra a vida,Pará,2014,550.0,15,PA,8073920,Desligado,19137,6.812056597043321,237.02241290476002
424,Crime contra a vida,Paraíba,2014,19.0,25,PB,3943880,Desligado,5827,0.48175907989086886,147.74790308021542
429,Crime contra o patrimônio,Paraíba,2014,570.0,25,PB,3943880,Desligado,5827,14.452772396726067,147.74790308021542
434,Crime contra a vida,Paraíba,2014,5.0,25,PB,3943880,Desligado,5827,0.12677870523443918,147.74790308021542
439,Crime contra a vida,Paraíba,2014,1431.0,25,PB,3943880,Desligado,5827,36.2840654380965,147.74790308021542
444,Crime contra o patrimônio,Paraíba,2014,544.0,25,PB,3943880,Desligado,5827,13.793523129506982,147.74790308021542
449,Crime contra a vida,Paraíba,2014,367.0,25,PB,3943880,Desligado,5827,9.305556964207836,147.74790308021542
454,Crime contra a vida,Pernambuco,2014,,26,PE,9278150,Desligado,38329,,413.11037221859965
459,Crime contra o patrimônio,Pernambuco,2014,,26,PE,9278150,Desligado,38329,,413.11037221859965
464,Crime contra a vida,Pernambuco,2014,,26,PE,9278150,Desligado,38329,,413.11037221859965
469,Crime contra a vida,Pernambuco,2014,,26,PE,9278150,Desligado,38329,,413.11037221859965
474,Crime contra o patrimônio,Pernambuco,2014,,26,PE,9278150,Desligado,38329,,413.11037221859965
479,Crime contra a vida,Pernambuco,2014,,26,PE,9278150,Desligado,38329,,413.11037221859965
484,Crime contra a vida,Piauí,2014,33.0,22,PI,3193960,Desligado,6643,1.0332001653120264,207.98632418690278
